public_path,manuscript_objects,module_id,public_sha256,original_executed_path,original_sha256,public_curation_status,governing_locks
04_code/vendor/figure_skills/sq3_v2.3-beta.1/R/layout_contracts_v2_3.R,"Figures 2-4 and S1 layout",G8,1e2468540f29285bfb496c0491d849d2643eefb9a34234239a34ce9bd8b5245c,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/shared_utils/layout_contracts_v2_3.R,1e2468540f29285bfb496c0491d849d2643eefb9a34234239a34ce9bd8b5245c,BYTE_EXACT,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/vendor/figure_skills/sq3_v2.3-beta.1/tools/validate_layout_contract.py,"Figures 2-4 and S1 layout",G8,bb3743428ba2b75bd0630710d104518cdae7f38edb5c0bb21de60120eb92f5e6,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/shared_utils/validate_layout_contract.py,bb3743428ba2b75bd0630710d104518cdae7f38edb5c0bb21de60120eb92f5e6,BYTE_EXACT,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/Python/build_figure1.py,Figure 1,G9,f2ac48293d5246f6e33f2ddffdffc09395935013fff7a9058e67501552a9591b,06_locked_results/reproducibility_archives/G9_FIGURE1_FINAL_v1/02_code/entry_scripts/g9_generate_figure1_visual_candidate_v2.py,5f54595969c6bdf86166df2c4d7dfd9f502a81d52f5ee437fe5dbb606defac2a,SEMANTIC_RENAME_AND_INTERNAL_PATH_METADATA_ONLY_CURATED,"L6B_G9_FIGURE1_CONTENT_v1;L7B_G9_FIGURE1_VISUAL_AND_CODE_v1"
04_code/Python/export_figure1.py,Figure 1,G9,8b36b9680b14512db787d3f80d30127f83973dffdcd1a05338c08a29d03fe542,06_locked_results/reproducibility_archives/G9_FIGURE1_FINAL_v1/02_code/entry_scripts/g9_export_figure1_locked_layout_v02.py,d20cd7e0a9dc524a4ff038cadd8ea62f91bb2f056957d87b77ee1b1a90033990,SEMANTIC_RENAME_AND_INTERNAL_PATH_METADATA_ONLY_CURATED,"L6B_G9_FIGURE1_CONTENT_v1;L7B_G9_FIGURE1_VISUAL_AND_CODE_v1"
04_code/vendor/figure_skills/sq5_v4.3/tools/render_layout_spec.py,Figure 1,G9,11a32e65e47af9e5174a207193de1e26496d6dfa8d037644d99c9c454e591d29,06_locked_results/reproducibility_archives/G9_FIGURE1_FINAL_v1/02_code/shared_utils/render_layout_spec.py,11a32e65e47af9e5174a207193de1e26496d6dfa8d037644d99c9c454e591d29,BYTE_EXACT,"L6B_G9_FIGURE1_CONTENT_v1;L7B_G9_FIGURE1_VISUAL_AND_CODE_v1"
04_code/vendor/figure_skills/sq5_v4.3/tools/validate_layout_spec.py,Figure 1,G9,e504558dd2ee3e4177faab6451f5acaa2b37506bd6e873852697e6c23e8bc446,06_locked_results/reproducibility_archives/G9_FIGURE1_FINAL_v1/02_code/shared_utils/validate_layout_spec.py,e504558dd2ee3e4177faab6451f5acaa2b37506bd6e873852697e6c23e8bc446,BYTE_EXACT,"L6B_G9_FIGURE1_CONTENT_v1;L7B_G9_FIGURE1_VISUAL_AND_CODE_v1"
04_code/vendor/figure_skills/sq5_v4.3/tools/validate_visual_grammar.py,Figure 1,G9,06edf4056a398a2834ca76276582751c1581da11560f066f6f787e3655951552,06_locked_results/reproducibility_archives/G9_FIGURE1_FINAL_v1/02_code/shared_utils/validate_visual_grammar.py,06edf4056a398a2834ca76276582751c1581da11560f066f6f787e3655951552,BYTE_EXACT,"L6B_G9_FIGURE1_CONTENT_v1;L7B_G9_FIGURE1_VISUAL_AND_CODE_v1"
04_code/vendor/figure_skills/sq5_v4.3/tools/validate_rendered_output.py,Figure 1,G9,d11b91d96230d43a088fc41cd1d69b4e71fd277a57ba7c089c5a3368bf06f622,06_locked_results/reproducibility_archives/G9_FIGURE1_FINAL_v1/02_code/shared_utils/validate_rendered_output.py,d11b91d96230d43a088fc41cd1d69b4e71fd277a57ba7c089c5a3368bf06f622,BYTE_EXACT,"L6B_G9_FIGURE1_CONTENT_v1;L7B_G9_FIGURE1_VISUAL_AND_CODE_v1"
04_code/vendor/figure_skills/sq5_v4.3/tools/make_hotspot_crops.py,Figure 1,G9,3e1a3a0e94d8e8b9f0c226104aae9c2590f4decdb68d021fdf6e56a9c85cdcfc,06_locked_results/reproducibility_archives/G9_FIGURE1_FINAL_v1/02_code/shared_utils/make_hotspot_crops.py,3e1a3a0e94d8e8b9f0c226104aae9c2590f4decdb68d021fdf6e56a9c85cdcfc,BYTE_EXACT,"L6B_G9_FIGURE1_CONTENT_v1;L7B_G9_FIGURE1_VISUAL_AND_CODE_v1"
04_code/vendor/figure_skills/sq5_v4.3/tools/validate_reproducibility_package.py,Figure 1,G9,b1b3d0bafc31127b1b5c044c9fd81a45fa2db6bc4910decba5e05cf7248807c0,06_locked_results/reproducibility_archives/G9_FIGURE1_FINAL_v1/02_code/shared_utils/validate_reproducibility_package.py,b1b3d0bafc31127b1b5c044c9fd81a45fa2db6bc4910decba5e05cf7248807c0,BYTE_EXACT,"L6B_G9_FIGURE1_CONTENT_v1;L7B_G9_FIGURE1_VISUAL_AND_CODE_v1"
04_code/Python/prepare_supplementary_tables.py,"Supplementary Tables S1-S4",G9,7cdad07a2829b878dcaf269fc65b8db7cc733673e563778902a6dd5e49d6a258,04_code/Python/g9_prepare_supplementary_tables_v1.py,99dfaa10e01a255a7bb82f74724c308963689e7804f556ee0e279f5b2fa45611,SEMANTIC_RENAME_AND_PORTABLE_ARGUMENTS_ONLY_CURATED,G9_SUBMISSION_FORMAT_v04
